posición,Nombre de la canción,Artista(s),Popularidad,Albúm
1,アイドル,YOASOBI,74,Mix 2 Anime op
2,廻廻奇譚,Eve,51,Mix 2 Anime op
3,Black Catcher,VK Blanka,62,Mix 2 Anime op
4,Young Girl A,Siinamota,71,Mix 2 Anime op
5,Lost Umbrella,稲葉曇,65,Mix 2 Anime op
6,光るなら,Goose house,66,Mix 2 Anime op
7,Shinzo wo Sasageyo !,Linked Horizon,66,Mix 2 Anime op
8,NIGHT DANCER,imase,69,Mix 2 Anime op
9,Wild Side,ALI,64,Mix 2 Anime op
10,Bling-Bang-Bang-Born,Creepy Nuts,81,Mix 2 Anime op
11,KICK BACK,Kenshi Yonezu,75,Mix 2 Anime op
12,Kaikai Kitan,Eve,73,Mix 2 Anime op
13,Black Rover,VK Blanka,64,Mix 2 Anime op
14,愛して 愛して 愛して,Kikuo,66,Mix 2 Anime op
15,the WORLD,Nightmare,62,Mix 2 Anime op
16,紅蓮華,LiSA,73,Mix 2 Anime op
17,SPECIALZ,King Gnu,57,Mix 2 Anime op
18,Guren no Yumiya,Linked Horizon,63,Mix 2 Anime op
19,Shinunoga E-Wa,Fujii Kaze,77,Mix 2 Anime op
20,Kyouran Hey Kids!!,THE ORAL CIGARETTES,67,Mix 2 Anime op
21,ブルーバード,Ikimonogakari,68,Mix 2 Anime op
22,Boku no Sensou,Shinsei Kamattechan,62,Mix 2 Anime op
23,The Rumbling,SiM,68,Mix 2 Anime op
24,crossing field,LiSA,67,Mix 2 Anime op
25,残響散歌,Aimer,68,Mix 2 Anime op
26,Suzume,"RADWIMPS,Toaka",67,Mix 2 Anime op
27,Cry Baby,OFFICIAL HIGE DANDISM,59,Mix 2 Anime op
28,Mind brand,Maretu,62,Mix 2 Anime op
29,しかばねの踊り,Kikuo,64,Mix 2 Anime op
30,DADDY ! DADDY ! DO !,"Masayuki Suzuki,鈴木愛理",61,Mix 2 Anime op
31,怪物,YOASOBI,66,Mix 2 Anime op
32,Flashback,"MIYAVI,Ken Ken",53,Mix 2 Anime op
33,すずめ,"RADWIMPS,Toaka",52,Mix 2 Anime op
34,veil,須田景凪,58,Mix 2 Anime op
35,冬のはなし,ギヴン,63,Mix 2 Anime op
36,絆ノ奇跡,"MAN WITH A MISSION,milet",70,Mix 2 Anime op
37,青のすみか,Tatsuya Kitani,68,Mix 2 Anime op
38,FLY HIGH!!,BURNOUT SYNDROMES,65,Mix 2 Anime op
39,ピースサイン - Peace Sign,Kenshi Yonezu,70,Mix 2 Anime op
40,"Bling-Bang-Bang-Born (From ""Mashle: Magic and Muscles"")","Guitarrista de Atena,Miree",31,Mix 2 Anime op
41,Dramaturgy,Eve,63,Mix 2 Anime op
42,遥か彼方,ASIAN KUNG-FU GENERATION,65,Mix 2 Anime op
43,Deal with the devil,Tia,56,Mix 2 Anime op
44,Harukamirai,KANKAKU PIERO,62,Mix 2 Anime op
45,departure!,Masatoshi Ono,60,Mix 2 Anime op
46,Lead Your Partner,Tao Tsuchiya,50,Mix 2 Anime op
47,よふかしのうた,Creepy Nuts,60,Mix 2 Anime op
48,Last Dance,Eve,56,Mix 2 Anime op
49,99,MOB CHOIR,59,Mix 2 Anime op
50,KING,Kanaria,57,Mix 2 Anime op
1,Born For This,The Score,60,Mix 6 AMV
2,Todo Se Queda,Adventure Time,43,Mix 6 AMV
3,Bang Bang,"K'NAAN,Adam Levine",73,Mix 6 AMV
4,It's Been So Long,The Living Tombstone,53,Mix 6 AMV
5,House of Memories,Panic! At The Disco,78,Mix 6 AMV
6,World's Smallest Violin,AJR,67,Mix 6 AMV
7,Below the Surface,Griffinilla,56,Mix 6 AMV
8,Insane,"Black Gryph0n,Baasik",75,Mix 6 AMV
9,Join Us for a Bite,"JT Music,Andrea Storm Kaden",67,Mix 6 AMV
10,Counting Stars,OneRepublic,86,Mix 6 AMV
11,My Ordinary Life,The Living Tombstone,72,Mix 6 AMV
12,dumb dumb - sped up,mazie,65,Mix 6 AMV
13,Legends Never Die,"League of Legends,Against The Current",74,Mix 6 AMV
14,Verbatim,Mother Mother,73,Mix 6 AMV
15,1985,Bo Burnham,68,Mix 6 AMV
16,Centuries,Fall Out Boy,80,Mix 6 AMV
17,Cradles,Sub Urban,73,Mix 6 AMV
18,Discord,"The Living Tombstone,Eurobeat Brony",69,Mix 6 AMV
19,From the Start,Good Kid,75,Mix 6 AMV
20,This Side of Paradise,Coyote Theory,77,Mix 6 AMV
21,Hayloft II,Mother Mother,75,Mix 6 AMV
22,Honeypie,JAWNY,77,Mix 6 AMV
23,dumb dumb,mazie,68,Mix 6 AMV
24,Red Flags (feat. Montaigne),"Tom Cardy,Montaigne",63,Mix 6 AMV
25,I Got No Time,The Living Tombstone,0,Mix 6 AMV
26,Ashes,Stellar,71,Mix 6 AMV
27,Hidden In the Sand,Tally Hall,75,Mix 6 AMV
28,Baby Hotline,Jack Stauber's Micropop,68,Mix 6 AMV
29,Television / So Far So Good,Rex Orange County,73,Mix 6 AMV
30,all I want is you,"Rebzyyx,hoshie star",73,Mix 6 AMV
31,Freaks,Surf Curse,83,Mix 6 AMV
32,No Mercy (feat. BlackGryph0n & LittleJayneyCakes),"The Living Tombstone,Black Gryph0n,LittleJayneyCakes",58,Mix 6 AMV
33,Ghost,Confetti,70,Mix 6 AMV
34,The Bidding,Tally Hall,70,Mix 6 AMV
35,Two Birds,Regina Spektor,71,Mix 6 AMV
36,Tek It - Sped Up,Cafuné,77,Mix 6 AMV
37,Courtesy Call,Thousand Foot Krutch,73,Mix 6 AMV
38,Washing Machine Heart,Mitski,82,Mix 6 AMV
39,Die In a Fire (feat. EileMonty & Orko),"The Living Tombstone,Eile Monty,Orko",59,Mix 6 AMV
40,Riptide,Vance Joy,82,Mix 6 AMV
41,Le Monde - From Talk to Me,Richard Carter,65,Mix 6 AMV
42,Bubblegum Bitch,MARINA,76,Mix 6 AMV
43,"Tag, You're It",Melanie Martinez,74,Mix 6 AMV
44,Nothing's New,Rio Romeo,79,Mix 6 AMV
45,Fallen Down,Toby Fox,69,Mix 6 AMV
46,I Can't Fix You,"The Living Tombstone,Crusher-P",56,Mix 6 AMV
47,Who Is She ?,I Monster,70,Mix 6 AMV
48,I Wanna Be Yours,Arctic Monkeys,91,Mix 6 AMV
49,Wolf in Sheep's Clothing,"Set It Off,William Beckett",60,Mix 6 AMV
50,Oh Klahoma,Jack Stauber,70,Mix 6 AMV
